review,rating,date,bank,source,lang,translated_review,processed_review,sentiment_score,sentiment_label,vader_sentiment,sentiment,label
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,en,the app is proactive and a good connections.,app proactive good connection,0.6908,positive,positive,positive,positive
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,en,I cannot send to cbebirr app. through this app.,send cbebirr app app,0.0,neutral,neutral,neutral,neutral
good,4,2025-06-05,CBE,Google Play,so,good,good,0.4404,positive,positive,positive,positive
not functional,1,2025-06-05,CBE,Google Play,en,not functional,functional,0.0,neutral,neutral,neutral,negative
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,en,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",everytime uninstall app reach physically oldy one security layer check fraud attempt via app source directly source app store play store etc implicitly 2025 physical presence every app install traditional traditionally rare,0.1739,positive,positive,positive,negative
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,unknown,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,0.0,neutral,neutral,neutral,positive
best,5,2025-06-04,CBE,Google Play,af,best,best,0.6369,positive,positive,positive,positive
bezabih,5,2025-06-04,CBE,Google Play,sl,bezabih,bezabih,0.0,neutral,neutral,neutral,positive
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,no,Best Mobile Banking app ever,best mobile banking app ever,0.6369,positive,positive,positive,positive
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,en,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,good app issue like doesnt give right amount bank issue transferring,0.6369,positive,positive,positive,negative
Good,5,2025-06-04,CBE,Google Play,so,Good,good,0.4404,positive,positive,positive,positive
👌👍,5,2025-06-04,CBE,Google Play,unknown,👌👍,,0.0,neutral,neutral,neutral,positive
very niec,5,2025-06-04,CBE,Google Play,af,very niec,niec,0.0,neutral,neutral,neutral,positive
best app of finance,5,2025-06-04,CBE,Google Play,en,best app of finance,best app finance,0.6369,positive,positive,positive,positive
yetemeta,1,2025-06-03,CBE,Google Play,tr,yetemeta,yetemeta,0.0,neutral,neutral,neutral,negative
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,af,Engida Kebede Fetera,engida kebede fetera,0.0,neutral,neutral,neutral,positive
it is not safety,1,2025-06-03,CBE,Google Play,en,it is not safety,safety,-0.3252,negative,negative,neutral,negative
NICE bank,5,2025-06-03,CBE,Google Play,so,NICE bank,nice bank,0.5473,positive,positive,positive,positive
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,en,it is like a childish app make it better the worst I have ever seen,like childish app make better worst ever seen,-0.2263,negative,negative,negative,negative
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,en,"It's a problem solver application, go ahead CBE, I love so much.",problem solver application go ahead cbe love much,0.3612,positive,positive,positive,positive
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,en,It's good but try to make it facilitate for your client,good try make facilitate client,0.2382,positive,positive,positive,positive
best app,5,2025-06-01,CBE,Google Play,fr,best app,best app,0.6369,positive,positive,positive,positive
